"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new post with Unicode Characters and validate the response","144","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 11:07:10 UTC 2025","passed","Mon Sep 08 11:07:10 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create new post with Unicode Characters and validate the response","170","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 11:07:09 UTC 2025","passed","Mon Sep 08 11:07:09 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Update Post by Id and validate the response","274","Update Post by Id","Surefire suite","Mon Sep 08 11:07:10 UTC 2025","passed","Mon Sep 08 11:07:10 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","updatePostById"
"Create new post without Body Field and validate the response","1453","Create new post without Body Field","Surefire suite","Mon Sep 08 11:07:06 UTC 2025","passed","Mon Sep 08 11:07:08 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoBody"
"Create new post with Invalid UserId and validate the response","34","Create new post with Invalid UserId","Surefire suite","Mon Sep 08 11:07:08 UTC 2025","passed","Mon Sep 08 11:07:08 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostwithInvalidUserId"
"Create new post with Unicode Characters and validate the response","150","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 11:07:10 UTC 2025","passed","Mon Sep 08 11:07:10 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Delete Post by Id and validate the response","113","Delete Post by Id","Surefire suite","Mon Sep 08 11:07:10 UTC 2025","passed","Mon Sep 08 11:07:11 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","deletePostById"
"Create new post without Title Field and validate the response","38","Create new post without Title Field","Surefire suite","Mon Sep 08 11:07:08 UTC 2025","passed","Mon Sep 08 11:07:08 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiNegativeTest","createNewPostWithNoTitle"
"Get all posts and validate the response","115","Get all posts","Surefire suite","Mon Sep 08 11:07:10 UTC 2025","passed","Mon Sep 08 11:07:10 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getAllPosts"
"Get Post by Id and validate the response","62","Get Post by Id","Surefire suite","Mon Sep 08 11:07:10 UTC 2025","passed","Mon Sep 08 11:07:10 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","getPostById"
"Create new post with Unicode Characters and validate the response","161","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 11:07:10 UTC 2025","passed","Mon Sep 08 11:07:10 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
"Create a new Post and validate the response","1405","Create a new Post","Surefire suite","Mon Sep 08 11:07:08 UTC 2025","passed","Mon Sep 08 11:07:09 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPost"
"Create new post with Unicode Characters and validate the response","179","Create new post with Unicode Characters :","Surefire suite","Mon Sep 08 11:07:09 UTC 2025","passed","Mon Sep 08 11:07:10 UTC 2025","com.glsnxt.sdetTask.api.tests.PostApiTest","Surefire test","com.glsnxt.sdetTask.api.tests.PostApiTest","createNewPostWithUnicodeCharacters"
